Title,Year,IMDB Rating,IMDB Votes,Genre,Box Office,IMDB ID
Crossover,2006,2.2,"9,418","Action, Sport","$7,009,668",tt0473024
The Science of Sleep,2006,7.2,"70,983","Comedy, Drama, Fantasy","$4,670,644",tt0354899
The Last King of Scotland,2006,7.6,"196,627","Biography, Drama, History","$17,606,684",tt0455590
Madea's Family Reunion,2006,5.3,"12,072","Comedy, Drama, Romance","$63,318,000",tt0455612
The Work and the Glory III: A House Divided,2006,6.2,490,"Drama, Western","$1,325,092",tt0460611
Friends with Money,2006,5.8,"32,189","Comedy, Drama, Romance","$13,368,437",tt0436331
The Wind that Shakes the Barley,2006,7.5,"55,034","Drama, War","$1,836,089",tt0460989
Kabhi Alvida Naa Kehna,2006,6.0,"21,693","Drama, Romance","$3,275,444",tt0449999
10th & Wolf,2006,6.3,"6,979","Crime, Drama, Thriller","$54,702",tt0360323
Fido,2006,6.7,"30,236","Comedy, Drama, Horror","$304,533",tt0457572
Bon Cop Bad Cop,2006,6.7,"13,199","Action, Comedy, Crime","$12,665,721",tt0479647
Akeelah and the Bee,2006,7.4,"21,747","Drama, Family","$18,848,430",tt0437800
Little Miss Sunshine,2006,7.8,"521,471","Comedy, Drama","$59,891,098",tt0449059
A Scanner Darkly,2006,7.0,"117,810","Animation, Comedy, Crime","$5,501,616",tt0405296
Black Christmas,2006,4.7,"30,762",Horror,"$16,273,581",tt0454082
Stay Alive,2006,5.0,"34,167","Fantasy, Horror, Mystery","$23,086,480",tt0441796
Rescue Dawn,2006,7.3,"111,213","Adventure, Biography, War","$5,490,423",tt0462504
Saw III,2006,6.2,"214,143","Horror, Mystery, Thriller","$80,238,724",tt0489270
Dhoom 2,2006,6.5,"30,148","Action, Crime, Thriller","$2,643,586",tt0441048
Jackass Number Two,2006,7.0,"80,384","Documentary, Action, Comedy","$72,778,712",tt0493430
The Host,2006,7.1,"133,450","Drama, Horror, Sci-Fi","$2,201,923",tt0468492
Snow Cake,2006,7.4,"13,309","Drama, Romance","$26,651",tt0448124
For Your Consideration,2006,6.3,"15,939",Comedy,"$5,549,923",tt0470765
Running with Scissors,2006,6.1,"23,202","Comedy, Drama","$7,022,827",tt0439289
