Title,Year,IMDB Rating,IMDB Votes,Genre,Box Office,IMDB ID,Budget,Revenue
Domino,2005,5.9,"69,564","Action, Biography, Crime","$10,169,202",tt0421054,"$50,000,000.00 ","$22,944,502.00 "
Oliver Twist,2005,6.8,"34,388","Crime, Drama","$2,080,321",tt0380599,"$50,000,000.00 ","$42,093,706.00 "
Into the Blue,2005,5.9,"80,093","Action, Adventure, Crime","$18,801,234",tt0378109,"$50,000,000.00 ","$44,434,439.00 "
Herbie Fully Loaded,2005,4.9,"51,142","Adventure, Comedy, Family","$66,023,816",tt0400497,"$50,000,000.00 ","$66,002,004.00 "
The Adventures of Sharkboy and Lavagirl 3-D,2005,3.8,"42,863","Action, Adventure, Comedy","$39,177,684",tt0424774,"$50,000,000.00 ","$69,425,966.00 "
Syriana,2005,6.9,"134,796","Drama, Thriller","$50,824,620",tt0365737,"$50,000,000.00 ","$94,000,000.00 "
The Hitchhiker's Guide to the Galaxy,2005,6.7,"209,036","Adventure, Comedy, Sci-Fi","$51,085,416",tt0371724,"$50,000,000.00 ","$104,478,416.00 "
The Dukes of Hazzard,2005,5.1,"82,237",Comedy,"$80,270,227",tt0377818,"$50,000,000.00 ","$110,803,676.00 "
The Ring Two,2005,5.4,"101,457","Horror, Mystery","$76,231,249",tt0377109,"$50,000,000.00 ","$161,451,538.00 "
Hostage,2005,6.5,"113,779","Action, Crime, Drama","$34,639,939",tt0340163,"$52,000,000.00 ","$77,944,725.00 "
Be Cool,2005,5.6,"72,393","Comedy, Crime, Music","$56,046,979",tt0377471,"$53,000,000.00 ","$95,226,116.00 "
Flightplan,2005,6.3,"172,908","Drama, Mystery, Thriller","$89,707,299",tt0408790,"$55,000,000.00 ","$223,387,299.00 "
The Pacifier,2005,5.6,"101,363","Action, Comedy, Drama","$113,086,868",tt0395699,"$56,000,000.00 ","$113,006,880.00 "
Elizabethtown,2005,6.3,"72,924","Comedy, Drama, Romance","$26,850,426",tt0368709,"$57,000,000.00 ","$52,034,889.00 "
Just Like Heaven,2005,6.7,"117,766","Comedy, Drama, Fantasy","$48,318,130",tt0425123,"$58,000,000.00 ","$102,854,431.00 "
Doom,2005,5.2,"119,373","Action, Horror, Sci-Fi","$28,212,337",tt0419706,"$60,000,000.00 ","$55,987,321.00 "
xXx: State of the Union,2005,4.5,"73,900","Action, Adventure, Crime","$26,873,932",tt0329774,"$60,000,000.00 ","$71,073,932.00 "
Cheaper by the Dozen 2,2005,5.5,"63,258","Adventure, Comedy, Family","$82,571,173",tt0452598,"$60,000,000.00 ","$129,181,830.00 "
Æon Flux,2005,5.4,"133,218","Action, Adventure, Sci-Fi","$25,874,337",tt0402022,"$62,000,000.00 ","$52,304,001.00 "
Zathura: A Space Adventure,2005,6.3,"116,113","Action, Adventure, Comedy","$29,258,869",tt0406375,"$65,000,000.00 ","$64,321,501.00 "
Rumor Has It...,2005,5.5,"61,907","Comedy, Drama, Romance","$43,000,262",tt0398375,"$70,000,000.00 ","$88,933,562.00 "
Munich,2005,7.5,"239,808","Action, Drama, History","$47,403,685",tt0408306,"$70,000,000.00 ","$130,358,911.00 "
Hitch,2005,6.6,"336,915","Comedy, Romance","$179,495,555",tt0386588,"$70,000,000.00 ","$368,100,420.00 "
Jarhead,2005,7.0,"208,065","Biography, Drama, War","$62,658,220",tt0418763,"$72,000,000.00 ","$96,889,998.00 "
The Legend of Zorro,2005,6.0,"108,000","Action, Adventure, Romance","$46,464,023",tt0386140,"$75,000,000.00 ","$142,400,065.00 "
Robots,2005,6.4,"163,305","Animation, Adventure, Comedy","$128,200,012",tt0358082,"$75,000,000.00 ","$260,696,994.00 "
Madagascar,2005,6.9,"441,827","Animation, Adventure, Comedy","$193,595,521",tt0351283,"$75,000,000.00 ","$532,680,671.00 "
A Sound of Thunder,2005,4.2,"20,549","Action, Adventure, Horror","$1,900,451",tt0318081,"$80,000,000.00 ","$5,989,640.00 "
The Great Raid,2005,6.6,"24,035","Action, Drama, War","$10,167,373",tt0326905,"$80,000,000.00 ","$10,166,502.00 "
The Interpreter,2005,6.4,"111,280","Crime, Mystery, Thriller","$72,708,161",tt0373926,"$80,000,000.00 ","$162,944,923.00 "
The Longest Yard,2005,6.4,"196,081","Comedy, Crime, Sport","$158,119,460",tt0398165,"$82,000,000.00 ","$190,320,568.00 "
Bewitched,2005,4.8,"75,700","Comedy, Fantasy, Romance","$63,313,159",tt0374536,"$85,000,000.00 ","$131,426,169.00 "
Memoirs of a Geisha,2005,7.3,"161,592","Drama, Romance","$57,490,508",tt0397535,"$85,000,000.00 ","$162,242,962.00 "
The Brothers Grimm,2005,5.9,"126,725","Action, Adventure, Comedy","$37,916,267",tt0355295,"$88,000,000.00 ","$105,316,267.00 "
Cinderella Man,2005,8.0,"199,290","Biography, Drama, Romance","$61,649,911",tt0352248,"$88,000,000.00 ","$108,539,911.00 "
Fun with Dick and Jane,2005,6.2,"155,339","Comedy, Crime","$110,332,737",tt0369441,"$100,000,000.00 ","$202,026,112.00 "
Constantine,2005,7.0,"376,534","Action, Fantasy, Horror","$75,976,178",tt0360486,"$100,000,000.00 ","$230,884,728.00 "
Fantastic Four,2005,5.7,"345,339","Action, Adventure, Fantasy","$154,696,080",tt0120667,"$100,000,000.00 ","$330,579,719.00 "
Mr. & Mrs. Smith,2005,6.5,"547,417","Action, Comedy, Crime","$186,336,279",tt0356910,"$110,000,000.00 ","$478,207,520.00 "
Star Wars: Episode III - Revenge of the Sith,2005,7.6,"851,789","Action, Adventure, Fantasy","$380,270,577",tt0121766,"$113,000,000.00 ","$850,000,000.00 "
The Island,2005,6.8,"329,074","Action, Sci-Fi, Thriller","$35,818,913",tt0399201,"$126,000,000.00 ","$162,949,164.00 "
Sahara,2005,6.1,"104,281","Action, Adventure, Comedy","$68,671,925",tt0318649,"$130,000,000.00 ","$119,269,486.00 "
Kingdom of Heaven,2005,7.3,"318,873","Action, Adventure, Drama","$47,398,413",tt0320661,"$130,000,000.00 ","$211,643,158.00 "
War of the Worlds,2005,6.5,"478,376","Action, Adventure, Sci-Fi","$234,280,354",tt0407304,"$132,000,000.00 ","$591,739,379.00 "
Stealth,2005,5.1,"56,429","Action, Adventure, Sci-Fi","$32,116,746",tt0382992,"$135,000,000.00 ","$76,932,943.00 "
Chicken Little,2005,5.7,"101,396","Animation, Adventure, Comedy","$135,386,665",tt0371606,"$150,000,000.00 ","$314,432,665.00 "
Batman Begins,2005,8.2,"1,589,713","Action, Crime, Drama","$206,863,479",tt0372784,"$150,000,000.00 ","$374,218,673.00 "
Charlie and the Chocolate Factory,2005,6.7,"533,360","Adventure, Comedy, Family","$206,459,076",tt0367594,"$150,000,000.00 ","$474,968,763.00 "
Harry Potter and the Goblet of Fire,2005,7.7,"687,968","Adventure, Family, Fantasy","$290,469,928",tt0330373,"$150,000,000.00 ","$895,921,036.00 "
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,6.9,"430,142","Adventure, Family, Fantasy","$291,710,957",tt0363771,"$180,000,000.00 ","$748,806,957.00 "
King Kong,2005,7.2,"449,822","Action, Adventure, Romance","$218,080,025",tt0360717,"$207,000,000.00 ","$550,000,000.00 "
The Angrez,2005,7.5,527,Comedy,N/A,tt2612156,"$50,000.00 ","$300,000.00 "
The Foot Fist Way,2006,6.2,"13,519",Comedy,"$234,286",tt0492619,"$79,000.00 ","$245,000.00 "
Facing the Giants,2006,6.5,"18,167","Drama, Sport","$10,178,331",tt0805526,"$100,000.00 ","$10,178,331.00 "
Conversations with Other Women,2005,6.9,"13,134","Comedy, Drama, Romance","$379,418",tt0435623,"$450,000.00 ","$973,525.00 "
Varalaaru,2006,7.3,"3,595","Action, Drama",N/A,tt0442781,"$500,000.00 ","$500,000.00 "
Another Gay Movie,2006,5.0,"9,508","Comedy, Romance","$654,132",tt0443431,"$500,000.00 ","$745,327.00 "
Half Nelson,2006,7.1,"92,337",Drama,"$2,697,938",tt0468489,"$700,000.00 ","$4,911,725.00 "
'n Beetje verliefd,2006,5.4,489,"Comedy, Romance",N/A,tt0800164,"$800,000.00 ","$966,214.00 "
Dikari,2006,6.5,693,Comedy,N/A,tt0933361,"$800,000.00 ","$1,328,612.00 "
